tx_id,from_account,to_account,amount,currency,date,type,country,description
TX001,ACC-1001,ACC-2001,8950.00,EUR,2024-01-15T09:00:00Z,TRANSFER,EE,Monthly payment
TX002,ACC-1001,ACC-2002,8900.00,EUR,2024-01-15T09:15:00Z,TRANSFER,EE,Monthly payment
TX003,ACC-1001,ACC-2003,8850.00,EUR,2024-01-15T09:30:00Z,TRANSFER,EE,Monthly payment
TX004,ACC-1001,ACC-2004,8750.00,EUR,2024-01-15T09:45:00Z,TRANSFER,EE,Monthly payment
TX005,ACC-1001,ACC-2005,8800.00,EUR,2024-01-15T10:00:00Z,TRANSFER,EE,Monthly payment
TX006,ACC-3001,ACC-4001,250000.00,EUR,2024-01-16T14:00:00Z,WIRE,CY,Investment
TX007,ACC-4001,ACC-5001,245000.00,EUR,2024-01-17T10:00:00Z,WIRE,MT,Consulting
TX008,ACC-5001,ACC-3001,240000.00,EUR,2024-01-18T11:00:00Z,WIRE,LU,Return
TX009,ACC-6001,ACC-7001,500.00,EUR,2024-01-15T08:00:00Z,PAYMENT,EE,Coffee
TX010,ACC-6001,ACC-7002,300.00,EUR,2024-01-15T08:05:00Z,PAYMENT,EE,Groceries
TX011,ACC-6001,ACC-7003,150.00,EUR,2024-01-15T08:10:00Z,PAYMENT,EE,Taxi
TX012,ACC-6001,ACC-7004,200.00,EUR,2024-01-15T08:15:00Z,PAYMENT,EE,Fuel
TX013,ACC-6001,ACC-7005,100.00,EUR,2024-01-15T08:20:00Z,PAYMENT,EE,Parking
TX014,ACC-6001,ACC-7006,80.00,EUR,2024-01-15T08:25:00Z,PAYMENT,EE,Lunch
TX015,ACC-6001,ACC-7007,60.00,EUR,2024-01-15T08:30:00Z,PAYMENT,EE,Coffee
TX016,ACC-6001,ACC-7008,90.00,EUR,2024-01-15T08:35:00Z,PAYMENT,EE,Snacks
TX017,ACC-8001,ACC-9001,45000.00,EUR,2024-01-20T12:00:00Z,TRANSFER,RU,Business
TX018,ACC-9001,ACC-9002,44000.00,EUR,2024-01-20T14:00:00Z,TRANSFER,AE,Consulting
TX019,ACC-9002,ACC-9003,43000.00,EUR,2024-01-21T09:00:00Z,TRANSFER,BH,Services
TX020,ACC-1002,ACC-2010,1200.00,EUR,2024-01-22T10:00:00Z,PAYMENT,EE,Regular payment
